matrix, M, N, nz, type, avgTime, avgGFlops, nThreads
nlpkkt80, 1062400, 1062400, 28704672, HLL, 16.418165, 3.496697, 40
webbase-1M, 1000005, 1000005, 3105536, serial, 6.268759, 0.990798, 1
webbase-1M, 1000005, 1000005, 3105536, CSR, 1.114327, 5.573834, 40
webbase-1M, 1000005, 1000005, 3105536, HLL, 6.992328, 0.888270, 40
dc1, 116835, 116835, 766396, serial, 0.827785, 1.851679, 1
dc1, 116835, 116835, 766396, CSR, 0.289912, 5.287099, 40
dc1, 116835, 116835, 766396, HLL, 5.946423, 0.257767, 40
amazon0302, 262111, 262111, 1234877, serial, 3.054261, 0.808626, 1
amazon0302, 262111, 262111, 1234877, CSR, 0.183279, 13.475350, 40
amazon0302, 262111, 262111, 1234877, HLL, 0.377409, 6.543971, 40
af_1_k101, 503625, 503625, 17550675, serial, 20.178291, 1.739560, 1
af_1_k101, 503625, 503625, 17550675, CSR, 6.141710, 5.715240, 40
af_1_k101, 503625, 503625, 17550675, HLL, 9.507240, 3.692065, 40
roadNet-PA, 1090920, 1090920, 3083796, serial, 9.695108, 0.636155, 1
roadNet-PA, 1090920, 1090920, 3083796, CSR, 1.196761, 5.153569, 40
roadNet-PA, 1090920, 1090920, 3083796, HLL, 2.519514, 2.447930, 40
