matrix, M, N, nz, type, avgTime, avgGFlops, nThreads
mhda416, 416, 416, 8562, CSR, 0.010318, 1.659645, 3
mhda416, 416, 416, 8562, HLL, 0.011306, 1.514656, 3
mhda416, 416, 416, 8562, CSR, 0.004806, 3.562703, 4
mhda416, 416, 416, 8562, HLL, 0.007905, 2.166225, 4
mhda416, 416, 416, 8562, CSR, 0.004309, 3.974269, 5
mhda416, 416, 416, 8562, HLL, 0.007337, 2.334018, 5
mhda416, 416, 416, 8562, CSR, 0.004900, 3.494999, 6
mhda416, 416, 416, 8562, HLL, 0.008311, 2.060412, 6
mhda416, 416, 416, 8562, CSR, 0.004906, 3.490537, 7
mhda416, 416, 416, 8562, HLL, 0.008215, 2.084524, 7
mhda416, 416, 416, 8562, CSR, 0.004892, 3.500139, 8
mhda416, 416, 416, 8562, HLL, 0.008305, 2.061833, 8
mhda416, 416, 416, 8562, CSR, 0.005111, 3.350570, 9
mhda416, 416, 416, 8562, HLL, 0.008360, 2.048430, 9
mhda416, 416, 416, 8562, CSR, 0.006546, 2.615768, 10
mhda416, 416, 416, 8562, HLL, 0.009748, 1.756645, 10
mhda416, 416, 416, 8562, CSR, 0.005070, 3.377202, 11
mhda416, 416, 416, 8562, HLL, 0.010709, 1.599032, 11
mhda416, 416, 416, 8562, CSR, 0.005765, 2.970589, 12
mhda416, 416, 416, 8562, HLL, 0.010498, 1.631138, 12
mhda416, 416, 416, 8562, CSR, 0.006306, 2.715515, 13
mhda416, 416, 416, 8562, HLL, 0.012289, 1.393459, 13
mhda416, 416, 416, 8562, CSR, 0.005583, 3.067181, 14
mhda416, 416, 416, 8562, HLL, 0.010947, 1.564328, 14
mhda416, 416, 416, 8562, CSR, 0.006535, 2.620456, 15
mhda416, 416, 416, 8562, HLL, 0.011014, 1.554767, 15
mhda416, 416, 416, 8562, CSR, 0.006809, 2.514970, 16
mhda416, 416, 416, 8562, HLL, 0.013408, 1.277153, 16
mhda416, 416, 416, 8562, CSR, 0.006210, 2.757689, 17
mhda416, 416, 416, 8562, HLL, 0.011244, 1.522896, 17
mhda416, 416, 416, 8562, CSR, 0.007228, 2.369023, 18
mhda416, 416, 416, 8562, HLL, 0.012686, 1.349878, 18
mhda416, 416, 416, 8562, CSR, 0.006842, 2.502953, 19
mhda416, 416, 416, 8562, HLL, 0.013677, 1.252060, 19
mhda416, 416, 416, 8562, CSR, 0.006660, 2.571035, 20
mhda416, 416, 416, 8562, HLL, 0.012333, 1.388421, 20
mhda416, 416, 416, 8562, CSR, 0.007761, 2.206300, 21
mhda416, 416, 416, 8562, HLL, 0.015031, 1.139243, 21
mhda416, 416, 416, 8562, CSR, 0.011197, 1.529394, 22
mhda416, 416, 416, 8562, HLL, 0.016591, 1.032106, 22
mhda416, 416, 416, 8562, CSR, 0.012729, 1.345239, 23
mhda416, 416, 416, 8562, HLL, 0.016427, 1.042417, 23
mhda416, 416, 416, 8562, CSR, 0.008839, 1.937380, 24
mhda416, 416, 416, 8562, HLL, 0.015087, 1.135032, 24
mhda416, 416, 416, 8562, CSR, 0.010782, 1.588224, 25
mhda416, 416, 416, 8562, HLL, 0.018012, 0.950715, 25
mhda416, 416, 416, 8562, CSR, 0.009640, 1.776391, 26
mhda416, 416, 416, 8562, HLL, 0.015602, 1.097574, 26
mhda416, 416, 416, 8562, CSR, 0.008937, 1.916070, 27
mhda416, 416, 416, 8562, HLL, 0.017451, 0.981288, 27
mhda416, 416, 416, 8562, CSR, 0.009989, 1.714235, 28
mhda416, 416, 416, 8562, HLL, 0.015271, 1.121321, 28
mhda416, 416, 416, 8562, CSR, 0.012652, 1.353460, 29
mhda416, 416, 416, 8562, HLL, 0.017348, 0.987073, 29
mhda416, 416, 416, 8562, CSR, 0.009251, 1.850961, 30
mhda416, 416, 416, 8562, HLL, 0.015643, 1.094663, 30
mhda416, 416, 416, 8562, CSR, 0.010293, 1.663696, 31
mhda416, 416, 416, 8562, HLL, 0.015520, 1.103347, 31
mhda416, 416, 416, 8562, CSR, 0.009529, 1.796999, 32
mhda416, 416, 416, 8562, HLL, 0.015947, 1.073790, 32
mhda416, 416, 416, 8562, CSR, 0.010456, 1.637774, 33
mhda416, 416, 416, 8562, HLL, 0.016262, 1.052985, 33
mhda416, 416, 416, 8562, CSR, 0.012997, 1.317494, 34
mhda416, 416, 416, 8562, HLL, 0.018517, 0.924760, 34
mhda416, 416, 416, 8562, CSR, 0.013753, 1.245104, 35
mhda416, 416, 416, 8562, HLL, 0.018804, 0.910676, 35
mhda416, 416, 416, 8562, CSR, 0.011282, 1.517807, 36
mhda416, 416, 416, 8562, HLL, 0.017212, 0.994880, 36
mhda416, 416, 416, 8562, CSR, 0.013637, 1.255656, 37
mhda416, 416, 416, 8562, HLL, 0.018887, 0.906648, 37
mhda416, 416, 416, 8562, CSR, 0.010408, 1.645255, 38
mhda416, 416, 416, 8562, HLL, 0.015432, 1.109629, 38
mhda416, 416, 416, 8562, CSR, 0.011481, 1.491517, 39
mhda416, 416, 416, 8562, HLL, 0.017654, 0.969984, 39
mhda416, 416, 416, 8562, CSR, 0.011022, 1.553598, 40
mhda416, 416, 416, 8562, HLL, 0.016195, 1.057380, 40
mcfe, 765, 765, 24382, serial, 0.029106, 1.675419, 1
mcfe, 765, 765, 24382, CSR, 0.028850, 1.690237, 1
mcfe, 765, 765, 24382, HLL, 0.059757, 0.816038, 1
mcfe, 765, 765, 24382, CSR, 0.015190, 3.210351, 2
mcfe, 765, 765, 24382, HLL, 0.031412, 1.552419, 2
mcfe, 765, 765, 24382, CSR, 0.015795, 3.087334, 3
mcfe, 765, 765, 24382, HLL, 0.023199, 2.102007, 3
mcfe, 765, 765, 24382, CSR, 0.010256, 4.754668, 4
mcfe, 765, 765, 24382, HLL, 0.018470, 2.640171, 4
mcfe, 765, 765, 24382, CSR, 0.009476, 5.146017, 5
mcfe, 765, 765, 24382, HLL, 0.016754, 2.910555, 5
mcfe, 765, 765, 24382, CSR, 0.008865, 5.500832, 6
mcfe, 765, 765, 24382, HLL, 0.015222, 3.203428, 6
mcfe, 765, 765, 24382, CSR, 0.007945, 6.137376, 7
mcfe, 765, 765, 24382, HLL, 0.014223, 3.428577, 7
mcfe, 765, 765, 24382, CSR, 0.008024, 6.076989, 8
mcfe, 765, 765, 24382, HLL, 0.014267, 3.417863, 8
mcfe, 765, 765, 24382, CSR, 0.008023, 6.077836, 9
mcfe, 765, 765, 24382, HLL, 0.013983, 3.487472, 9
mcfe, 765, 765, 24382, CSR, 0.007451, 6.544502, 10
mcfe, 765, 765, 24382, HLL, 0.013365, 3.648751, 10
mcfe, 765, 765, 24382, CSR, 0.007764, 6.280788, 11
mcfe, 765, 765, 24382, HLL, 0.014249, 3.422185, 11
mcfe, 765, 765, 24382, CSR, 0.008130, 5.998304, 12
mcfe, 765, 765, 24382, HLL, 0.014166, 3.442220, 12
mcfe, 765, 765, 24382, CSR, 0.007302, 6.678160, 13
mcfe, 765, 765, 24382, HLL, 0.014100, 3.458448, 13
mcfe, 765, 765, 24382, CSR, 0.008601, 5.669376, 14
mcfe, 765, 765, 24382, HLL, 0.014228, 3.427382, 14
mcfe, 765, 765, 24382, CSR, 0.008448, 5.772108, 15
mcfe, 765, 765, 24382, HLL, 0.014999, 3.251151, 15
mcfe, 765, 765, 24382, CSR, 0.008827, 5.524658, 16
mcfe, 765, 765, 24382, HLL, 0.016469, 2.960886, 16
mcfe, 765, 765, 24382, CSR, 0.010109, 4.823756, 17
mcfe, 765, 765, 24382, HLL, 0.016414, 2.970807, 17
mcfe, 765, 765, 24382, CSR, 0.010324, 4.723186, 18
mcfe, 765, 765, 24382, HLL, 0.018314, 2.662643, 18
mcfe, 765, 765, 24382, CSR, 0.010435, 4.673222, 19
mcfe, 765, 765, 24382, HLL, 0.019470, 2.504572, 19
mcfe, 765, 765, 24382, CSR, 0.012119, 4.023649, 20
mcfe, 765, 765, 24382, HLL, 0.019515, 2.498783, 20
